state_name,state_abbr,long_name,fips,sumlev,region,division,state,region_name,division_name,state_population
Alabama,AL,Alabama AL,1,40,3,6,1,South,East South Central,4863525
Alaska,AK,Alaska AK,2,40,4,9,2,West,Pacific,741456
Arizona,AZ,Arizona AZ,4,40,4,8,4,West,Mountain,6941072
Arkansas,AR,Arkansas AR,5,40,3,7,5,South,West South Central,2989918
California,CA,California CA,6,40,4,9,6,West,Pacific,39167117
Colorado,CO,Colorado CO,8,40,4,8,8,West,Mountain,5539215
Connecticut,CT,Connecticut CT,9,40,1,1,9,Northeast,New England,3578141
Delaware,DE,Delaware DE,10,40,3,5,10,South,South Atlantic,948921
Florida,FL,Florida FL,12,40,3,5,12,South,South Atlantic,20613477
Georgia,GA,Georgia GA,13,40,3,5,13,South,South Atlantic,10301890
Hawaii,HI,Hawaii HI,15,40,4,9,15,West,Pacific,1427559
Idaho,ID,Idaho ID,16,40,4,8,16,West,Mountain,1682380
Illinois,IL,Illinois IL,17,40,2,3,17,Midwest,East North Central,12820527
Indiana,IN,Indiana IN,18,40,2,3,18,Midwest,East North Central,6634304
Iowa,IA,Iowa IA,19,40,2,4,19,Midwest,West North Central,3131371
Kansas,KS,Kansas KS,20,40,2,4,20,Midwest,West North Central,2910844
Kentucky,KY,Kentucky KY,21,40,3,6,21,South,East South Central,4438182
Louisiana,LA,Louisiana LA,22,40,3,7,22,South,West South Central,4678135
Maine,ME,Maine ME,23,40,1,1,23,Northeast,New England,1331317
Maryland,MD,Maryland MD,24,40,3,5,24,South,South Atlantic,6003323
Massachusetts,MA,Massachusetts MA,25,40,1,1,25,Northeast,New England,6823608
Michigan,MI,Michigan MI,26,40,2,3,26,Midwest,East North Central,9950571
Minnesota,MN,Minnesota MN,27,40,2,4,27,Midwest,West North Central,5522744
Mississippi,MS,Mississippi MS,28,40,3,6,28,South,East South Central,2987938
Missouri,MO,Missouri MO,29,40,2,4,29,Midwest,West North Central,6087135
Montana,MT,Montana MT,30,40,4,8,30,West,Mountain,1040859
Nebraska,NE,Nebraska NE,31,40,2,4,31,Midwest,West North Central,1905616
Nevada,NV,Nevada NV,32,40,4,8,32,West,Mountain,2917563
New Hampshire,NH,New Hampshire NH,33,40,1,1,33,Northeast,New England,1342307
New Jersey,NJ,New Jersey NJ,34,40,1,2,34,Northeast,Middle Atlantic,8870827
New Mexico,NM,New Mexico NM,35,40,4,8,35,West,Mountain,2091630
New York,NY,New York NY,36,40,1,2,36,Northeast,Middle Atlantic,19633428
North Carolina,NC,North Carolina NC,37,40,3,5,37,South,South Atlantic,10154788
North Dakota,ND,North Dakota ND,38,40,2,4,38,Midwest,West North Central,754434
Ohio,OH,Ohio OH,39,40,2,3,39,Midwest,East North Central,11634370
Oklahoma,OK,Oklahoma OK,40,40,3,7,40,South,West South Central,3926331
Oregon,OR,Oregon OR,41,40,4,9,41,West,Pacific,4089976
Pennsylvania,PA,Pennsylvania PA,42,40,1,2,42,Northeast,Middle Atlantic,12782275
Rhode Island,RI,Rhode Island RI,44,40,1,1,44,Northeast,New England,1056770
South Carolina,SC,South Carolina SC,45,40,3,5,45,South,South Atlantic,4957968
South Dakota,SD,South Dakota SD,46,40,2,4,46,Midwest,West North Central,862996
Tennessee,TN,Tennessee TN,47,40,3,6,47,South,East South Central,6646010
Texas,TX,Texas TX,48,40,3,7,48,South,West South Central,27914410
Utah,UT,Utah UT,49,40,4,8,49,West,Mountain,3041868
Vermont,VT,Vermont VT,50,40,1,1,50,Northeast,New England,623657
Virginia,VA,Virginia VA,51,40,3,5,51,South,South Atlantic,8410106
Washington,WA,Washington WA,53,40,4,9,53,West,Pacific,7294771
West Virginia,WV,West Virginia WV,54,40,3,5,54,South,South Atlantic,1831023
Wisconsin,WI,Wisconsin WI,55,40,2,3,55,Midwest,East North Central,5772628
Wyoming,WY,Wyoming WY,56,40,4,8,56,West,Mountain,584215
